id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
aintivirus,ainti,AIntivirus,0.0337323,33728677,918,33728677,0.0,0.0337323,0.0337323,0.0,0.0,0.0,0.0,999892613.68592,999892613.68592,999998814.0,0.03412971,-1.1644,2025-05-01T15:00:06.901Z,1.163e-05,290011.46793,2025-01-09T14:10:14.869Z,2025-07-11T13:53:10.351Z
ai-rig-complex,arc,AI Rig Complex,0.03323694,33236697,935,33236697,16678823,0.03588406,0.03015524,0.00215981,6.94984,2174241,6.99958,999992824.615478,999992824.615478,999998319.33,0.623197,-94.72416,2025-01-22T03:35:28.203Z,0.02161425,52.11677,2025-06-22T13:32:16.376Z,2025-07-11T13:53:10.425Z
a-hunters-dream,caw,A Hunters Dream,4.7125e-08,30059078,984,31475475,1123726,4.7553e-08,4.3116e-08,3.719e-09,8.56743,2338884,8.43747,636666666666666.0,666666666666666.0,666666666666666.0,1.6415e-07,-71.26166,2022-06-04T18:14:15.904Z,3.0922e-08,52.55855,2022-05-12T07:45:18.075Z,2025-07-11T13:53:10.371Z
agi-alpha-agent,agialpha,AGI ALPHA AGENT,0.02822889,28137355,1022,28137355,332148,0.03238421,0.02802999,-0.002088357632596103,-6.88835,-2167258.5390407145,-7.15158,999988567.380681,999988567.380681,1000000000.0,0.03600949,-21.39797,2025-07-07T11:01:41.189Z,0.00057102,4856.81299,2025-04-18T15:10:04.806Z,2025-07-11T13:53:10.494Z
ahatoken,aht,AhaToken,0.00389869,26383757,1052,30156067,1151930,0.00392612,0.00374248,0.00015262,4.07416,1047364,4.13383,6763700798.11106,7730764631.06281,10500000000.0,0.03894145,-89.97139,2021-04-03T00:38:35.806Z,0.00258023,51.3541,2020-11-04T07:49:04.995Z,2025-07-11T13:53:10.322Z
ageur,eura,EURA,1.17,21932923,1162,21932923,760371,1.2,1.17,0.00336873,0.28774,-128191.30484183133,-0.58107,18687727.99754413,18687727.99754413,,1.2,-2.24808,2025-07-10T22:57:31.089Z,0.640182,83.1015,2023-03-15T02:32:40.142Z,2025-07-11T13:53:10.349Z
agora-ausd-katana,ausd,Agora AUSD (Katana),1.0,16652473,1307,16652473,2636089,1.001,0.999608,-0.000230652254143537,-0.02306,5167.56,0.03104,16650090.0,16650090.0,,1.002,-0.21685,2025-07-09T21:30:26.561Z,0.997458,0.2742,2025-07-05T08:50:56.307Z,2025-07-11T13:53:14.323Z
agoras-currency-of-tau,agrs,Agoras: Tau Net,0.825451,14827286,1377,34597001,76310,0.853586,0.776957,0.03922008,4.98837,593215,4.16757,18000000.0,42000000.0,,38.86,-97.86557,2020-05-13T06:35:22.924Z,0.0263893,3043.04609,2022-12-29T10:15:20.234Z,2025-07-11T13:53:10.304Z
agent-virtual-machine,avm,Agent Virtual Machine,0.248848,13218466,1456,24870115,1232667,0.279437,0.232514,-0.014144081833301347,-5.37814,-760710.4586366303,-5.44174,53150000.0,100000000.0,100000000.0,0.339107,-26.79761,2025-06-15T22:46:12.198Z,0.138857,78.76984,2025-06-21T21:45:06.730Z,2025-07-11T13:53:10.381Z
aki-protocol,aki,Aki Network,0.00689294,11627167,1530,13787495,632359,0.00706328,0.0068124,3.62e-06,0.05255,16772.17,0.14446,1686624980.885363,2000000000.0,2000000000.0,0.065411,-89.46137,2023-12-22T10:49:49.728Z,0.00236656,191.28504,2024-11-05T01:15:26.962Z,2025-07-11T13:53:12.277Z
aion-5100,aion,AION 5100,0.519099,10901074,1572,10901074,121786,0.528974,0.4538,0.03955186,8.24776,679246,6.64505,21000000.0,21000000.0,21000000.0,2.27,-77.13372,2025-01-19T01:00:58.432Z,0.01791478,2796.89223,2024-12-16T17:28:41.849Z,2025-07-11T13:53:10.345Z
akio,akio,Akio,0.0106517,10216782,1601,10362660,91036,0.01149994,0.0103538,-0.000381605185712433,-3.45867,-616411.7178894393,-5.69003,985794573.230756,999870054.421712,1000000000.0,0.02464502,-57.94685,2025-04-21T11:22:33.933Z,0.00841486,23.16311,2025-06-22T22:55:20.970Z,2025-07-11T13:53:12.282Z
agridex-governance-token,agri,AgriDex,0.02877547,9456891,1671,28775473,594543,0.02953511,0.02735205,0.00051023,1.80515,184871,1.99386,328644134.445029,999999966.573447,1000000000.0,0.176146,-83.65656,2024-12-13T22:41:30.724Z,0.0271935,5.86501,2025-07-10T00:00:16.012Z,2025-07-11T13:53:10.328Z
airswap,ast,AirSwap,0.04355396,9138400,1707,21859373,753532,0.04503847,0.03959239,0.00396157,10.00589,848706,10.23808,209027032.6527,500000000.0,500000000.0,1.85,-97.6342,2018-01-09T00:00:00.000Z,0.00718622,510.53015,2020-03-13T02:29:28.208Z,2025-07-11T13:53:10.343Z
aiville-governance-token,agt,AIVille Governance Token,0.00317306,8177474,1768,31730564,27066956,0.00344098,0.0029581,0.00019686,6.61434,501572,6.53437,2577160000.0,10000000000.0,10000000000.0,0.00354207,-10.58641,2025-06-22T07:26:46.890Z,0.00084925,272.9273,2025-07-03T05:20:34.704Z,2025-07-11T13:53:10.416Z
